GalaxyName,Class,ErrorFamily,Projection_RMS,LOOGOThreshold,Margin,NPoints,DistanceMpc,InclinationDeg,EvidenceType,InspectionNote,Guardrail
CamB,A,false_positive_A_as_C,0.963585384,0.165021921,0.798563463,9,3.36,65.0,regular_kinematics,"residual_high_for_external_A; candidate hidden systematics, underestimated observational uncertainty, or externally regular but dynamically hard case",paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC05764,A,false_positive_A_as_C,0.329468364,0.165021921,0.164446443,10,7.47,60.0,low_asymmetry,"residual_high_for_external_A; candidate hidden systematics, underestimated observational uncertainty, or externally regular but dynamically hard case",paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC5585,A,false_positive_A_as_C,0.173858350,0.165021921,0.008836429,24,7.06,51.0,low_asymmetry,"residual_high_for_external_A; candidate hidden systematics, underestimated observational uncertainty, or externally regular but dynamically hard case",paper2_submission_source_ready_no_tau_validation_no_external_overclaim
