Relation,N,Pearson,LeftMedian_A,LeftMedian_C,LeftAUC_C_higher,RightAUC_C_higher,InterpretationGuardrail
Projection_RMS__vs__TauCoreSignalCandidateScore_v01,45,0.731059386,0.124355499,0.208624095,0.771008403,0.774159664,tau_core_signal_candidate_not_attribution_or_proof
AbsFinalMeanSignedResidual__vs__TauCoreSignalCandidateScore_v01,45,0.787664962,0.070366381,0.173436672,0.783613445,0.774159664,tau_core_signal_candidate_not_attribution_or_proof
MaxAbsCumulativeMeanResidual__vs__TauCoreSignalCandidateScore_v01,45,0.638958650,0.214401710,0.394781377,0.670168067,0.774159664,tau_core_signal_candidate_not_attribution_or_proof
SignImbalance__vs__TauCoreSignalCandidateScore_v01,45,0.809517370,0.616438356,0.962962963,0.685924370,0.774159664,tau_core_signal_candidate_not_attribution_or_proof
MaxSameSignRunFraction__vs__TauCoreSignalCandidateScore_v01,45,0.772053015,0.750000000,0.970588235,0.710084034,0.774159664,tau_core_signal_candidate_not_attribution_or_proof
HistoryImprovement_PositiveIsBetter__vs__TauCoreSignalCandidateScore_v01,45,0.801396391,0.008566997,0.042417618,0.762605042,0.774159664,tau_core_signal_candidate_not_attribution_or_proof
Median_S_tau_eff_clipped__vs__TauCoreSignalCandidateScore_v01,45,-0.273852544,1.093121010,0.888249933,0.444327731,0.774159664,tau_core_signal_candidate_not_attribution_or_proof
Projection_RMS__vs__HistoryImprovement_PositiveIsBetter,45,0.943340195,0.124355499,0.208624095,0.771008403,0.762605042,tau_core_signal_candidate_not_attribution_or_proof
AbsFinalMeanSignedResidual__vs__HistoryImprovement_PositiveIsBetter,45,0.954744346,0.070366381,0.173436672,0.783613445,0.762605042,tau_core_signal_candidate_not_attribution_or_proof
SignImbalance__vs__HistoryImprovement_PositiveIsBetter,45,0.513489157,0.616438356,0.962962963,0.685924370,0.762605042,tau_core_signal_candidate_not_attribution_or_proof
