GalaxyName,SourceRole,Use,URL,LocalIgnoredPath,SizeBytes,SHA256,Exists,GitTracked,RedistributionPolicy,Guardrail
NGC925,THINGS_HI_MOM0_NA,gas_surface_density_candidate,https://www2.mpia-hd.mpg.de/THINGS/Data_files/NGC_925_NA_MOM0_THINGS.FITS,data/raw/things_route2_primary_inputs_v01/NGC925/NGC_925_NA_MOM0_THINGS.FITS,4253760,7b496d20dd8ce3468dc6570bcb8f5613aba02fe4e6cfb96348a605928212622a,yes,no,raw_file_ignored_source_url_and_checksum_only,route2_primary_inputs_staged_raw_ignored_no_scores
NGC925,THINGS_HI_MOM1_NA,velocity_field_candidate,https://www2.mpia-hd.mpg.de/THINGS/Data_files/NGC_925_NA_MOM1_THINGS.FITS,data/raw/things_route2_primary_inputs_v01/NGC925/NGC_925_NA_MOM1_THINGS.FITS,4253760,fe279f920fb0e12ff9ef64a9149d3da69976b0c93478190f12ed5fcd7715ab69,yes,no,raw_file_ignored_source_url_and_checksum_only,route2_primary_inputs_staged_raw_ignored_no_scores
NGC925,THINGS_HI_MOM0_RO,gas_surface_density_crosscheck_candidate,https://www2.mpia-hd.mpg.de/THINGS/Data_files/NGC_925_RO_MOM0_THINGS.FITS,data/raw/things_route2_primary_inputs_v01/NGC925/NGC_925_RO_MOM0_THINGS.FITS,4253760,0d86aa678157d308aec33e69c1ff9fa9b69327dc8144987efec7a345004b2a54,yes,no,raw_file_ignored_source_url_and_checksum_only,route2_primary_inputs_staged_raw_ignored_no_scores
NGC925,THINGS_HI_MOM1_RO,velocity_field_crosscheck_candidate,https://www2.mpia-hd.mpg.de/THINGS/Data_files/NGC_925_RO_MOM1_THINGS.FITS,data/raw/things_route2_primary_inputs_v01/NGC925/NGC_925_RO_MOM1_THINGS.FITS,4253760,b90f49374108ab87be357ed908793e5c51b54893d6017ace767c16c14b0ac0e1,yes,no,raw_file_ignored_source_url_and_checksum_only,route2_primary_inputs_staged_raw_ignored_no_scores
NGC925,SINGS_IRAC1_3P6UM,stellar_3p6um_candidate,https://irsa.ipac.caltech.edu/data/SPITZER/SINGS/galaxies/ngc0925/IRAC/ngc0925_v7.phot.1.fits,data/raw/things_route2_primary_inputs_v01/NGC925/ngc0925_v7.phot.1.fits,13046400,9bc4fd43d9e4cc05841a92735de05758562a192dfd91bbdd1302c2b786a137de,yes,no,raw_file_ignored_source_url_and_checksum_only,route2_primary_inputs_staged_raw_ignored_no_scores
NGC3031,THINGS_HI_MOM0_NA,gas_surface_density_candidate,https://www2.mpia-hd.mpg.de/THINGS/Data_files/NGC_3031_NA_MOM0_THINGS.FITS,data/raw/things_route2_primary_inputs_v01/NGC3031/NGC_3031_NA_MOM0_THINGS.FITS,19465920,f75addd9c41cbdabe2835786d369d346231ba1d761f9dc1d5b53fea98bb687b1,yes,no,raw_file_ignored_source_url_and_checksum_only,route2_primary_inputs_staged_raw_ignored_no_scores
NGC3031,THINGS_HI_MOM1_NA,velocity_field_candidate,https://www2.mpia-hd.mpg.de/THINGS/Data_files/NGC_3031_NA_MOM1_THINGS.FITS,data/raw/things_route2_primary_inputs_v01/NGC3031/NGC_3031_NA_MOM1_THINGS.FITS,19465920,b5931272734008720a85a51d0768836d657ac557e680f25c487dd5c9e83d1e1b,yes,no,raw_file_ignored_source_url_and_checksum_only,route2_primary_inputs_staged_raw_ignored_no_scores
NGC3031,THINGS_HI_MOM0_RO,gas_surface_density_crosscheck_candidate,https://www2.mpia-hd.mpg.de/THINGS/Data_files/NGC_3031_RO_MOM0_THINGS.FITS,data/raw/things_route2_primary_inputs_v01/NGC3031/NGC_3031_RO_MOM0_THINGS.FITS,19465920,ad0a48abb3ec7f53b64de71cf5489f08836e000d29a37af74320cd9779d85e5d,yes,no,raw_file_ignored_source_url_and_checksum_only,route2_primary_inputs_staged_raw_ignored_no_scores
NGC3031,THINGS_HI_MOM1_RO,velocity_field_crosscheck_candidate,https://www2.mpia-hd.mpg.de/THINGS/Data_files/NGC_3031_RO_MOM1_THINGS.FITS,data/raw/things_route2_primary_inputs_v01/NGC3031/NGC_3031_RO_MOM1_THINGS.FITS,19465920,97e4f5bea3e6206782bf43942a87c2a5f982474651b06baec3e3afd4ee4871f0,yes,no,raw_file_ignored_source_url_and_checksum_only,route2_primary_inputs_staged_raw_ignored_no_scores
NGC3031,SINGS_IRAC1_3P6UM,stellar_3p6um_candidate,https://irsa.ipac.caltech.edu/data/SPITZER/SINGS/galaxies/ngc3031/IRAC/ngc3031_v7.phot.1.fits,data/raw/things_route2_primary_inputs_v01/NGC3031/ngc3031_v7.phot.1.fits,42042240,9b74e6c6df20f4083c5374120487c5385cd8e1529a4d2fdb2df53f32b7d65991,yes,no,raw_file_ignored_source_url_and_checksum_only,route2_primary_inputs_staged_raw_ignored_no_scores
