GalaxyName,ClassAuditOnly,SPARC_RadiusKpc,SPARC_RadiusFraction,THINGS_RingIndex,THINGS_RadiusCenterKpc,RadiusDeltaKpc,StressDispersionOverRotationScale,S_tau_source_percentile,S_tau_source_log,CalibrationStatus,ReadoutStatus,AbsResidualProjection,AbsResidualMONDSimple,AbsResidualRAR
NGC2366,C,2.74,0.452145,27,2.719804751,0.020195249,0.802076206,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0802062492427,0.13114105445,0.129970102051
NGC2366,C,2.97,0.490099,30,3.016510724,0.046510724,0.744084892,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0959431652142,0.148392932415,0.147253986448
NGC2366,C,3.21,0.529703,32,3.214314706,0.004314706,0.681528951,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.109612123746,0.163734962914,0.162629711751
NGC2366,C,3.44,0.567657,34,3.412118688,0.027881312,0.641313956,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.09469227493,0.150614089242,0.149543279919
NGC2366,C,3.69,0.608911,37,3.708824660,0.018824660,0.486725841,0.177104117,0.088508101,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0866291129963,0.145135977322,0.144111697774
NGC2366,C,3.92,0.646865,39,3.906628642,0.013371358,0.500303888,0.154139263,0.076685572,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0860190706662,0.146810268608,0.145824467262
NGC2366,C,4.16,0.686469,42,4.203334615,0.043334615,0.512735420,0.133113535,0.065954775,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0828452611147,0.14701583841,0.146082909753
NGC2366,C,4.4,0.726073,44,4.401138597,0.001138597,0.486309509,0.177808268,0.088872309,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.140312488742,0.207694019392,0.206807342931
NGC2366,C,4.64,0.765677,46,4.598942579,0.041057421,0.462619369,0.217875930,0.109766344,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.142434280629,0.212819580872,0.211973056058
NGC2366,C,4.87,0.80363,49,4.895648552,0.025648552,0.412301916,0.302978961,0.155291001,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.16045281194,0.232326632195,0.231498987526
NGC2366,C,5.11,0.843234,51,5.093452534,0.016547466,0.379207550,0.358952201,0.186126071,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.196226651969,0.269933781055,0.269128529264
NGC2366,C,5.35,0.882838,54,5.390158507,0.040158507,0.363881618,0.384873291,0.200657260,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.241864831584,0.318544904064,0.317774083306
NGC2366,C,5.59,0.922442,56,5.587962488,0.002037512,0.340504364,0.424411762,0.223139795,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.21400918789,0.294424389202,0.293693817442
NGC2366,C,5.82,0.960396,58,5.785766470,0.034233530,0.350925769,0.406785808,0.213069203,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.231690269701,0.316599569918,0.315913470916
NGC2366,C,6.06,1,61,6.082472443,0.022472443,0.357267929,0.396059171,0.206978494,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.225630195549,0.314218447462,0.313565898596
NGC2403,A,0.16,0.00766651,2,0.155140378,0.004859622,2.693156610,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0509349877759,0.0380741550989,0.0444700367402
NGC2403,A,0.26,0.0124581,4,0.279252680,0.019252680,1.138456521,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0560854593265,0.0411476842555,0.0495060404471
NGC2403,A,0.36,0.0172496,5,0.341308832,0.018691168,0.974932430,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0108162958581,0.00583569283975,0.00411929855819
NGC2403,A,0.46,0.0220412,7,0.465421134,0.005421134,0.916981667,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0279430423368,0.0104408560108,0.0213089012526
NGC2403,A,0.56,0.0268328,9,0.589533436,0.029533436,0.773384140,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0737042873116,0.055963915405,0.0671144276227
NGC2403,A,0.66,0.0316243,10,0.651589587,0.008410413,0.791318218,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0860408232462,0.0685955337157,0.0793981754248
NGC2403,A,0.76,0.0364159,12,0.775701890,0.015701890,0.714420280,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.117559688501,0.100407433068,0.110884144167
NGC2403,A,0.86,0.0412075,13,0.837758041,0.022241959,0.673924666,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.119152514488,0.102450889227,0.112456003476
NGC2403,A,0.96,0.045999,15,0.961870343,0.001870343,0.540437211,0.086260878,0.042356620,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0825851825374,0.0662469640213,0.0758920551516
NGC2403,A,1.06,0.0507906,17,1.085982646,0.025982646,0.494274220,0.164337375,0.081922396,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0729855326707,0.0569188782263,0.0663041179014
NGC2403,A,1.16,0.0555822,18,1.148038797,0.011961203,0.462493075,0.218089534,0.109878636,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0624790814107,0.0466173253363,0.0558107305893
NGC2403,A,1.27,0.0608529,20,1.272151099,0.002151099,0.513954320,0.131051983,0.064907382,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0855225396255,0.0698202669883,0.0788664755377
NGC2403,A,1.36,0.0651653,21,1.334207250,0.025792750,0.499502619,0.155494467,0.077380268,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0852694594936,0.069539339349,0.0786111290837
