GalaxyName,Class,W_tau_eff_candidate_score_v01,TauDistanceCandidate_NearerHigher_z,TauDistanceResidualAfterNuisance,W_tau_eff_score_residual_after_nuisance,AngularRadiusProxy_z,NPoints_z,MeanErrVobsKms_z,InclinationErrorDeg_z,DistanceFractionalError_z,MaxRadiusKpc_z,EnvironmentCuePresent,ReadoutUse,InterpretationGuardrail
CamB,A,0.854545455,1.185042080,0.576219506,0.198114657,-0.682341342,-0.770560001,-1.561438349,0.207327927,-0.900262034,-0.886055589,true,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
DDO154,A,0.213636364,0.949610037,0.128800739,-0.395087563,-0.082333500,-0.570894741,-2.205965818,-0.539052610,-1.157909735,-0.583919136,true,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
ESO079-G014,A,0.136363636,-1.554953698,-0.618200474,-0.322072684,-0.651396670,-0.371229482,1.546043419,0.207327927,0.693582537,0.202513522,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
ESO116-G012,A,0.254545455,-0.543308991,-0.192555990,-0.197360201,-0.537118727,-0.371229482,-0.357338271,-0.539052610,1.157324482,-0.295682422,false,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
IC2574,C,0.718181818,0.991390804,-0.100222602,0.116926261,0.658193872,0.893317160,-0.278882849,0.953708464,-1.142696867,-0.268614508,true,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
NGC0055,C,0.681818182,1.779362542,-0.172370124,0.180590436,3.091231305,0.028101036,0.178347362,-0.539052610,-1.133622393,-0.029392667,true,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
NGC1705,C,0.759090909,0.503191296,0.136332731,0.062787943,-0.351405640,-0.437784568,1.568597496,2.073279270,-1.147688583,-0.578066614,true,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
NGC2366,C,0.759090909,1.219725118,0.241263606,0.152346330,0.167205016,0.360876469,-0.745792379,0.207327927,-1.163226893,-0.573677222,true,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
NGC2403,A,0.168181818,1.263435596,-1.083861552,-0.232102420,3.223974353,3.488965531,-0.883158327,-0.539052610,-1.147484404,0.509770932,true,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
NGC2976,C,0.663636364,1.104026188,0.284394497,-0.053478044,-0.617142634,0.427431555,-0.084413285,2.073279270,-1.150752423,-0.850940457,true,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
NGC3109,C,0.363636364,2.368900340,0.347072202,-0.222378233,2.094992984,0.294321382,-0.639211617,0.207327927,-1.129011445,-0.545146177,true,observer_distance_tau_candidate_stress_no_velocity_endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
