Metric,N,Value,SecondaryValue,InterpretationGuardrail
coverage_joined,14,14,original_seed=10;expanded=4,whisp_expanded_readout_no_velocity_endpoint_no_refit
pearson_whisp_burden_vs_w_tau_score,14,0.391218683,higher WHISP burden expected higher W_tau_eff score,whisp_expanded_readout_no_velocity_endpoint_no_refit
spearman_whisp_burden_vs_w_tau_score,14,0.362637363,rank direction,whisp_expanded_readout_no_velocity_endpoint_no_refit
auc_high_vs_low_whisp_burden,14,0.714285714,median split within expanded WHISP overlap,whisp_expanded_readout_no_velocity_endpoint_no_refit
median_score_low_whisp_burden,7,0.231818182,,whisp_expanded_readout_no_velocity_endpoint_no_refit
median_score_high_whisp_burden,7,0.531818182,,whisp_expanded_readout_no_velocity_endpoint_no_refit
pearson_radial_contrast_vs_w_tau_score,14,0.374287364,outer-minus-inner WHISP asymmetry contrast,whisp_expanded_readout_no_velocity_endpoint_no_refit
auc_high_vs_low_radial_contrast,14,0.551020408,median split by outer-minus-inner contrast,whisp_expanded_readout_no_velocity_endpoint_no_refit
pearson_epsilon_kin_vs_w_tau_score,14,0.273373152,kinematic lopsidedness column,whisp_expanded_readout_no_velocity_endpoint_no_refit
