Metric,Value,SecondaryValue,Interpretation,Guardrail
mann_whitney_u_c_higher,367.000000000,nA=17;nC=28,rank_effect_size_not_model_selection,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
cliffs_delta_c_higher,0.542016807,positive_means_C_scores_tend_higher,rank_effect_size_not_model_selection,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
auc_minus_chance,0.271008403,auc=0.771008403,descriptive_effect_size,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
bootstrap_auc_median,0.775210084,p05=0.630252101;p95=0.894957983,stability_distribution,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
permutation_auc_median,0.497899160,p95=0.634453782;observed=0.771008403,label_null_distribution,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
auc_without_CamB,0.819196429,A-class outlier removed for sensitivity only,outlier_sensitivity_not_primary_result,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
