AGC,CanonicalSPARCNameCandidate,RAdeg,DEdeg,DistMpc,e_DistMpc,VcKms,HIflux,W85,Af,e_Af,Ac,e_Ac,Cv,K,SN,logMHI,Notes,Source,AllowedUse,InterpretationGuardrail,InWTauEffSeed,Class,W_tau_eff_candidate_score_v01,HasLocalSparcRotmod,LocalRotmodPath,ExpansionStatus,ReadoutPermission
000128,UGC00128,3.46167,35.99333,63.9,2.5,4531,11.54,193,1.04,0.07,1.15,0.12,2.67,-0.066,143.7,10.05,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,yes,A,0.463636364,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC00128_rotmod.dat,existing_seed_overlap,coverage_only_no_directional_readout
000191,UGC00191,5.02125,10.87917,16.1,4.4,1144,17.45,115,1.01,0.07,1.02,0.10,3.08,-0.026,154.5,9.03,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,yes,A,0.154545455,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC00191_rotmod.dat,existing_seed_overlap,coverage_only_no_directional_readout
000634,UGC00634,15.35458,7.62583,26.3,5.6,2210,14.60,118,1.06,0.07,1.19,0.12,3.11,-0.017,138.8,9.38,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC00634_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
000891,UGC00891,20.32958,12.41167,9.0,2.3,643,17.05,97,1.02,0.07,1.08,0.11,3.71,0.018,226.4,8.51,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC00891_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
001230,UGC01230,26.38542,25.52083,52.2,2.4,3837,14.27,79,1.02,0.07,1.02,0.10,3.09,-0.011,143.9,9.96,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC01230_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
001281,UGC01281,27.38167,32.58778,5.1,0.5,154,39.41,98,1.06,0.07,1.05,0.10,3.80,0.027,276.7,8.38,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC01281_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
002455,UGC02455,44.92625,25.23722,7.8,0.7,371,64.54,82,1.13,0.08,1.19,0.12,4.71,0.078,489.4,8.97,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,yes,C,0.895454545,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC02455_rotmod.dat,existing_seed_overlap,coverage_only_no_directional_readout
002487,UGC02487,45.42667,35.20556,67.8,4.4,4963,12.17,419,1.00,0.08,1.01,0.11,2.94,-0.044,24.4,10.12,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC02487_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
005005,UGC05005,141.12292,22.27444,57.0,2.3,3830,7.36,92,1.01,0.07,1.03,0.10,3.01,-0.026,80.4,9.75,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,no,,,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC05005_rotmod.dat,candidate_for_predeclared_seed_expansion,coverage_only_no_directional_readout
005716,UGC05716,157.93083,25.30722,21.1,2.4,1277,12.26,106,1.01,0.07,1.00,0.10,3.08,-0.025,147.4,9.11,1,Yu_etal_2022_VizieR_J_ApJS_261_21_table2,global_HI_profile_asymmetry_proxy_only,yu2022_alfalfa_coverage_no_directional_readout,yes,A,0.377272727,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC05716_rotmod.dat,existing_seed_overlap,coverage_only_no_directional_readout
