GalaxyName,ClassAuditOnly,NJoinedPoints,MeanRadiusFractionDelta,MedianNormalizedLinewidthStress,ReadoutStatus,ControlUse,InterpretationGuardrail
NGC2403,A,73,0.021357759,0.692307692,h07f_lr_cube_nearest_radius_fraction_join,external_linewidth_stress_control_only,systematics_competition_no_attribution_no_velocity_endpoint
NGC3198,A,43,0.020832417,0.800000000,h07f_lr_cube_nearest_radius_fraction_join,external_linewidth_stress_control_only,systematics_competition_no_attribution_no_velocity_endpoint
NGC4559,A,32,0.027364219,1.000000000,h07f_lr_cube_nearest_radius_fraction_join,external_linewidth_stress_control_only,systematics_competition_no_attribution_no_velocity_endpoint
NGC5055,C,28,0.020416194,0.906250000,h07f_lr_cube_nearest_radius_fraction_join,external_linewidth_stress_control_only,systematics_competition_no_attribution_no_velocity_endpoint
NGC5585,A,24,0.050828822,1.000000000,h07f_lr_cube_nearest_radius_fraction_join,external_linewidth_stress_control_only,systematics_competition_no_attribution_no_velocity_endpoint
