FileName,Bytes,Checksum,DownloadURL,CandidateSPARCOverlap,SuggestedUse,RedistributionPolicy,InterpretationGuardrail
NGC1003-LR_mom1m.fits,4224960,md5:605d892b9004b3b92a1638a307e4136c,https://zenodo.org/api/records/2552349/files/NGC1003-LR_mom1m.fits/content,,velocity_field_context,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC4631-LR-cube.fits,599837760,md5:46216f7714e5acc29e29db1828fac17d,https://zenodo.org/api/records/2552349/files/NGC4631-LR-cube.fits/content,,optional_local_cube_stress_derivation,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC4631-LR_mom0m.fits,4259520,md5:8e4b5b614c40f3f0fe7b494b171f32a9,https://zenodo.org/api/records/2552349/files/NGC4631-LR_mom0m.fits/content,,hi_distribution_context,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC4631-LR_mom1m.fits,4256640,md5:b8f572176055775a115ca890f61a7eb2,https://zenodo.org/api/records/2552349/files/NGC4631-LR_mom1m.fits/content,,velocity_field_context,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC5023-HR_coldens.fits,4222080,md5:9ed817017fd346fa928602fe6d7584ae,https://zenodo.org/api/records/2552349/files/NGC5023-HR_coldens.fits/content,,hi_distribution_context,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC5023-HR-cube.fits,289422720,md5:2b98a0b1b31449bbc8ad96c1d6b3f61c,https://zenodo.org/api/records/2552349/files/NGC5023-HR-cube.fits/content,,optional_local_cube_stress_derivation,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC5023-HR_mom0m.fits,4222080,md5:221f1f8fef5ebbf3f8332566721ffb96,https://zenodo.org/api/records/2552349/files/NGC5023-HR_mom0m.fits/content,,hi_distribution_context,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC5023-HR_mom1m.fits,4222080,md5:9a76c7c36a8a9c42f339fd05e5a2bd57,https://zenodo.org/api/records/2552349/files/NGC5023-HR_mom1m.fits/content,,velocity_field_context,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC5023-LR_coldens.fits,4222080,md5:be7a4ae67d5637571ef7abd8a8c1d3ca,https://zenodo.org/api/records/2552349/files/NGC5023-LR_coldens.fits/content,,hi_distribution_context,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC4414-HR_mom0m.fits,4227840,md5:b663abd708277a6be5d2c3fde2f111b4,https://zenodo.org/api/records/2552349/files/NGC4414-HR_mom0m.fits/content,,hi_distribution_context,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC1003-LR_mom0m.fits,4224960,md5:3ef75b036abe2fbb6e71b9d3dc564d91,https://zenodo.org/api/records/2552349/files/NGC1003-LR_mom0m.fits/content,,hi_distribution_context,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC5023-LR-cube.fits,289422720,md5:299d6398e6d93215b8859d7a311b0736,https://zenodo.org/api/records/2552349/files/NGC5023-LR-cube.fits/content,,optional_local_cube_stress_derivation,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC5023-LR_mom0m.fits,4222080,md5:f463028010cdcf36eab99cd62295ac0d,https://zenodo.org/api/records/2552349/files/NGC5023-LR_mom0m.fits/content,,hi_distribution_context,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC4414-HR-cube.fits,624971520,md5:9e71844955644c340f571ec5c00c3e20,https://zenodo.org/api/records/2552349/files/NGC4414-HR-cube.fits/content,,optional_local_cube_stress_derivation,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC1003-LR-cube.fits,348145920,md5:b5669621c47fe8ee70a8de5c3ae8ba6a,https://zenodo.org/api/records/2552349/files/NGC1003-LR-cube.fits/content,,optional_local_cube_stress_derivation,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC1003-LR_coldens.fits,4224960,md5:35e6eeb7eb2cf40876049bb3a566a101,https://zenodo.org/api/records/2552349/files/NGC1003-LR_coldens.fits/content,,hi_distribution_context,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC5023-LR_mom1m.fits,4222080,md5:ed3e80bbd01c3247296fa1d9f8706c46,https://zenodo.org/api/records/2552349/files/NGC5023-LR_mom1m.fits/content,,velocity_field_context,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC1003-HR_mom1m.fits,4224960,md5:75940085d6f291b08deaae3dcdf85582,https://zenodo.org/api/records/2552349/files/NGC1003-HR_mom1m.fits/content,,velocity_field_context,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC1003-HR_mom0m.fits,4224960,md5:bf61b8fbc1b6e148b0072f42b5d184cc,https://zenodo.org/api/records/2552349/files/NGC1003-HR_mom0m.fits/content,,hi_distribution_context,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
NGC4414-HR_coldens.fits,4227840,md5:bdc908f4e5dfc33e23f9874f63151f0c,https://zenodo.org/api/records/2552349/files/NGC4414-HR_coldens.fits/content,,hi_distribution_context,do_not_commit_raw_file_commit_derived_summary_only,raw_downloads_local_only_public_packet_derived_index_only
