GalaxyName,Class,EvidenceType,Confidence,QualityPass,ResidualBlind,P01BurdenTier,P01BurdenOrdinal,W_tau_eff_candidate_score_v01,W_tau_eff_signed_v01,W_tau_eff_abs_v01,CandidateConfidenceTier,ReadoutUse,InterpretationGuardrail
CamB,A,regular_kinematics,Medium,true,true,low,0.000000000,0.854545455,-0.914034998,0.914034998,high_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
DDO154,A,regular_kinematics,Medium,true,true,low,0.000000000,0.213636364,-0.015609254,0.015609254,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
ESO079-G014,A,regular_kinematics,Medium,true,true,low,0.000000000,0.136363636,0.023903266,0.023903266,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
ESO116-G012,A,regular_kinematics,Medium,true,true,low,0.000000000,0.254545455,0.087400328,0.087400328,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
NGC2403,A,regular_kinematics,Medium,true,true,low,0.000000000,0.168181818,0.063210375,0.063210375,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
NGC3198,A,low_asymmetry,Medium,true,true,low,0.000000000,0.304545455,-0.050659103,0.050659103,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
NGC3917,A,regular_kinematics,Medium,true,true,low,0.000000000,0.209090909,-0.008894630,0.008894630,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
NGC3972,A,regular_kinematics,Medium,true,true,low,0.000000000,0.309090909,0.033354209,0.033354209,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
NGC4183,A,regular_kinematics,Medium,true,true,low,0.000000000,0.063636364,-0.004923983,0.004923983,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
NGC4559,A,low_asymmetry,Medium,true,true,low,0.000000000,0.600000000,-0.130098087,0.130098087,medium_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
NGC5585,A,low_asymmetry,Medium,true,true,low,0.000000000,0.327272727,-0.101723376,0.101723376,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
NGC6503,A,regular_kinematics,High,true,true,low,0.000000000,0.290909091,0.047796563,0.047796563,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
NGC7331,A,regular_kinematics,Medium,true,true,low,0.000000000,0.409090909,-0.086335928,0.086335928,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC00128,A,low_asymmetry,Medium,true,true,low,0.000000000,0.463636364,0.103579831,0.103579831,medium_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC00191,A,low_asymmetry,High,true,true,low,0.000000000,0.154545455,0.070366381,0.070366381,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC05716,A,low_asymmetry,High,true,true,low,0.000000000,0.377272727,0.090702888,0.090702888,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC05764,A,low_asymmetry,High,true,true,low,0.000000000,0.850000000,0.282744392,0.282744392,high_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
IC2574,C,disturbed_hi,Medium,true,true,high,1.000000000,0.718181818,-0.186301949,0.186301949,high_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
NGC0055,C,disturbed_hi,High,true,true,high,1.000000000,0.681818182,-0.188681855,0.188681855,medium_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
NGC1705,C,disturbed_hi,High,true,true,high,1.000000000,0.759090909,0.350111963,0.350111963,high_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
NGC2366,C,disturbed_hi,Medium,true,true,high,1.000000000,0.759090909,-0.211342066,0.211342066,high_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
NGC2976,C,tidal,High,true,true,high,1.000000000,0.663636364,-0.149556322,0.149556322,medium_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
NGC3109,C,warp,Medium,true,true,high,1.000000000,0.363636364,0.128416526,0.128416526,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
NGC3741,C,warp,Medium,true,true,high,1.000000000,0.440909091,0.137722705,0.137722705,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
NGC5055,C,tidal,High,true,true,high,1.000000000,0.536363636,-0.116494987,0.116494987,medium_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC00731,C,disturbed_hi,Medium,true,true,high,1.000000000,0.563636364,0.210013035,0.210013035,medium_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC02455,C,disturbed_hi,Medium,true,true,high,1.000000000,0.895454545,-0.766182963,0.766182963,high_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC03580,C,disturbed_hi,High,true,true,high,1.000000000,0.531818182,-0.207662602,0.207662602,medium_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC04305,C,disturbed_hi,High,true,true,high,1.000000000,0.895454545,-0.549799788,0.549799788,high_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC04325,C,disturbed_hi,Medium,true,true,high,1.000000000,0.777272727,0.256220303,0.256220303,high_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC04499,C,disturbed_hi,Medium,true,true,high,1.000000000,0.581818182,-0.096146716,0.096146716,medium_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC05253,C,interaction,High,true,true,high,1.000000000,0.222727273,0.013041384,0.013041384,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC05829,C,disturbed_hi,Medium,true,true,high,1.000000000,0.122727273,0.011351180,0.011351180,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC05918,C,disturbed_hi,High,true,true,high,1.000000000,0.359090909,0.090353387,0.090353387,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC06446,C,disturbed_hi,Medium,true,true,high,1.000000000,0.577272727,0.162087165,0.162087165,medium_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC06818,C,interaction,Medium,true,true,high,1.000000000,0.504545455,-0.197344531,0.197344531,medium_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC06917,C,disturbed_hi,High,true,true,high,1.000000000,0.290909091,0.052493396,0.052493396,low_or_control_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
UGC06973,C,interaction,High,true,true,high,1.000000000,0.500000000,-0.155543868,0.155543868,medium_candidate,frozen_P01_direction_vs_existing_W_tau_eff_no_velocity_endpoint,proxy_direction_readout_no_velocity_endpoint_no_coefficient_fit
