TableID,Metric,Value,SecondaryValue,UseInManuscript,Guardrail
T1_primary_projection_rms,Projection_RMS_LOOGO,0.771008403,accuracy=0.755555556,primary_result,diagnostic_class_recovery_not_tau_core_validation
T1_primary_projection_rms,Projection_RMS_bootstrap_auc_ci95,0.600802469,0.909100262,sample_size_uncertainty,bootstrap_uncertainty_not_external_validation
T1_primary_projection_rms,Projection_RMS_shuffle_null_p,0.002000000,null_p95_auc=0.634453782,random_label_null,shuffle_null_not_independent_validation
T2_baseline_family,MOND_RMS_LOOGO_AUC,0.720588235,accuracy=0.644444444,baseline_family_comparison,not_projection_uniqueness
T2_baseline_family,RAR_RMS_LOOGO_AUC,0.731092437,accuracy=0.622222222,baseline_family_comparison,not_projection_uniqueness
T2_baseline_family,Newtonian_Baryonic_RMS_LOOGO_AUC,0.506302521,accuracy=0.511111111,scope_control,not_low_acceleration_specificity_proof
T3_observability_stress,distance_matched_greedy_fraction_c_higher,0.647058824,n_pairs=17,observability_caveat,distance_matching_not_full_selection_function
T3_observability_stress,distance_strict_caliper_median_diff,0.119490421,n_pairs=13,observability_caveat,strict_caliper_small_n
T4_b_policy,B_class_projection_threshold_split,13,A_like=15; threshold=0.166489797,descriptive_uncertainty_band,do_not_train_on_b_as_truth
