GalaxyName,Class,RadiusKpc,RadiusFraction,aN_over_a0,VobsKms,VbarKms,Predicted_S_tau_source_v01,ModelVelocity_S_tau1,ModelVelocity_SourceRule,AbsLogResidual_S_tau1,AbsLogResidual_SourceRule,DeltaAbsLogResidual_SourceMinusS1,InterpretationGuardrail
CamB,A,0.16,0.0893855,0.0177076,1.990000000,3.238958166,1.050000000,7.962891329,8.199087987,1.386657527,1.415888288,0.029230761,post_freeze_velocity_readout_no_refit
CamB,A,0.41,0.22905,0.0413779,4.840000000,7.925783873,1.050000000,17.129197092,17.589367753,1.263869719,1.290379894,0.026510175,post_freeze_velocity_readout_no_refit
CamB,A,0.57,0.318436,0.047674,6.790000000,10.030996959,1.050000000,21.189266984,21.747180485,1.138043838,1.164033175,0.025989337,post_freeze_velocity_readout_no_refit
CamB,A,0.73,0.407821,0.0517756,8.870000000,11.830135249,1.050000000,24.654874734,25.296111708,1.022299843,1.047975900,0.025676058,post_freeze_velocity_readout_no_refit
CamB,A,0.9,0.502793,0.0509801,10.900000000,13.034297066,1.050000000,27.233541041,27.943503239,0.915686551,0.941421941,0.025735390,post_freeze_velocity_readout_no_refit
CamB,A,1.06,0.592179,0.0477359,12.900000000,13.688038574,1.050000000,28.908221930,29.669231098,0.806898739,0.832883207,0.025984468,post_freeze_velocity_readout_no_refit
CamB,A,1.22,0.681564,0.0417949,14.700000000,13.740656826,1.050000000,29.648673855,30.444074707,0.701569904,0.728043891,0.026473987,post_freeze_velocity_readout_no_refit
CamB,A,1.47,0.821229,0.0352171,16.800000000,13.845266339,1.050000000,30.696346729,31.538900748,0.602764762,0.629842842,0.027078080,post_freeze_velocity_readout_no_refit
CamB,A,1.79,1,0.0239742,20.100000000,12.605639611,1.050000000,29.643530631,30.495425182,0.388524095,0.416856863,0.028332768,post_freeze_velocity_readout_no_refit
DDO154,A,0.49,0.0827703,0.0494691,13.800000000,9.473945852,1.050000000,19.892339200,20.413258868,0.365666101,0.391516042,0.025849941,post_freeze_velocity_readout_no_refit
DDO154,A,0.99,0.16723,0.0440568,21.600000000,12.708377158,1.050000000,27.190083895,27.914169232,0.230159029,0.256441103,0.026282074,post_freeze_velocity_readout_no_refit
DDO154,A,1.48,0.25,0.0368617,28.900000000,14.212957117,1.050000000,31.286144989,32.139804383,0.079333752,0.106253679,0.026919926,post_freeze_velocity_readout_no_refit
DDO154,A,1.97,0.33277,0.0334508,34.300000000,15.620761825,1.050000000,34.912557403,35.877147181,0.017701221,0.044955170,0.027253949,post_freeze_velocity_readout_no_refit
DDO154,A,2.47,0.41723,0.0295179,38.200000000,16.430736441,1.050000000,37.440154897,38.490625819,0.020091727,0.007579211,-0.012512516,post_freeze_velocity_readout_no_refit
