Metric,N,Value,SecondaryValue,InterpretationGuardrail
coverage_directional_readout_rows,22,22,low=12;medium=4;high=6,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
pearson_Af_vs_w_tau_score,22,0.145935541,higher profile asymmetry expected higher W_tau_eff,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
spearman_Af_vs_w_tau_score,22,0.061041438,rank direction only,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
pearson_Ac_vs_w_tau_score,22,0.014161744,higher profile asymmetry expected higher W_tau_eff,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
spearman_Ac_vs_w_tau_score,22,0.037383359,rank direction only,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
pearson_MaxAfAc_vs_w_tau_score,22,0.005951956,higher profile asymmetry expected higher W_tau_eff,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
spearman_MaxAfAc_vs_w_tau_score,22,0.013023835,rank direction only,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
pearson_MeanAfAc_vs_w_tau_score,22,0.055348741,higher profile asymmetry expected higher W_tau_eff,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
spearman_MeanAfAc_vs_w_tau_score,22,0.060005856,rank direction only,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
pearson_LogMaxAfAc_vs_w_tau_score,22,0.010298371,higher profile asymmetry expected higher W_tau_eff,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
spearman_LogMaxAfAc_vs_w_tau_score,22,0.013023835,rank direction only,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
pearson_ExcessMaxAfAc_vs_w_tau_score,22,0.005951956,higher profile asymmetry expected higher W_tau_eff,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
spearman_ExcessMaxAfAc_vs_w_tau_score,22,0.013023835,rank direction only,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
auc_high_vs_low_profile_asymmetry_score,18,0.472222222,high profile asymmetry expected higher,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
median_score_low_profile_asymmetry,12,0.397727273,,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
median_score_medium_profile_asymmetry,4,0.615909091,,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
median_score_high_profile_asymmetry,6,0.388636363,,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
pearson_logmaxafac_vs_abs_w_tau,22,0.164767212,absolute residual-weight direction,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
pearson_logmaxafac_vs_signed_w_tau,22,-0.352332897,signed direction retained as diagnostic only,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
