GalaxyName,RadiusKpc,NearestProfileRadiusKpc,RadiusDeltaKpc,NativeMedianMJySr,BackgroundNativeMJySr,CorrectedI3p6LsunPc2,SparcSBdiskLsunPc2,AbsFractionalError,ValidationUse,CanRunVelocitySolverNow,CanScoreMissingGalaxiesNow,Guardrail
NGC2403,0.160000,0.250000,0.090000,2.3621577,0.00294824317,1662.51855,1105.79,0.503466800,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,0.260000,0.250000,0.010000,2.3621577,0.00294824317,1662.51855,1006.36,0.652011758,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,0.360000,0.250000,0.110000,2.3621577,0.00294824317,1662.51855,938.26,0.771916689,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,0.460000,0.250000,0.210000,2.3621577,0.00294824317,1662.51855,789.78,1.105040078,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,0.560000,0.750000,0.190000,1.29625773,0.00294824317,911.386231,624.65,0.459035030,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,0.660000,0.750000,0.090000,1.29625773,0.00294824317,911.386231,511.64,0.781303712,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,0.760000,0.750000,0.010000,1.29625773,0.00294824317,911.386231,469.31,0.941970619,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,0.860000,0.750000,0.110000,1.29625773,0.00294824317,911.386231,402.53,1.264144862,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,0.960000,0.750000,0.210000,1.29625773,0.00294824317,911.386231,381.19,1.390897535,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,1.060000,1.250000,0.190000,0.754278779,0.00294824317,529.457421,359.63,0.472228182,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,1.160000,1.250000,0.090000,0.754278779,0.00294824317,529.457421,345.41,0.532837559,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,1.270000,1.250000,0.020000,0.754278779,0.00294824317,529.457421,332.26,0.593503344,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,1.360000,1.250000,0.110000,0.754278779,0.00294824317,529.457421,317.57,0.667214854,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,1.470000,1.250000,0.220000,0.754278779,0.00294824317,529.457421,297.25,0.781185605,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,1.570000,1.750000,0.180000,0.59021619,0.00294824317,413.843652,286.72,0.443372111,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,1.670000,1.750000,0.080000,0.59021619,0.00294824317,413.843652,271.01,0.527041998,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,1.770000,1.750000,0.020000,0.59021619,0.00294824317,413.843652,252.38,0.639764053,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,1.870000,1.750000,0.120000,0.59021619,0.00294824317,413.843652,231.06,0.791065748,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,1.970000,1.750000,0.220000,0.59021619,0.00294824317,413.843652,214.5,0.929341034,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,2.080000,2.250000,0.170000,0.37992163,0.00294824317,265.650533,203.15,0.307657066,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,2.180000,2.250000,0.070000,0.37992163,0.00294824317,265.650533,177.77,0.494349625,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,2.280000,2.250000,0.030000,0.37992163,0.00294824317,265.650533,143.26,0.854324535,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,2.370000,2.250000,0.120000,0.37992163,0.00294824317,265.650533,125.45,1.117580972,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,2.470000,2.250000,0.220000,0.37992163,0.00294824317,265.650533,115.5,1.300004614,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,2.570000,2.750000,0.180000,0.228994012,0.00294824317,159.292887,108.64,0.466245274,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,2.680000,2.750000,0.070000,0.228994012,0.00294824317,159.292887,99.02,0.608694068,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,2.780000,2.750000,0.030000,0.228994012,0.00294824317,159.292887,91.66,0.737866971,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,2.880000,2.750000,0.130000,0.228994012,0.00294824317,159.292887,86.76,0.836017595,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,2.980000,2.750000,0.230000,0.228994012,0.00294824317,159.292887,83.79,0.901096629,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,3.080000,3.250000,0.170000,0.136054397,0.00294824317,93.798984,81.8,0.146686846,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,3.190000,3.250000,0.060000,0.136054397,0.00294824317,93.798984,78.36,0.197026340,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,3.290000,3.250000,0.040000,0.136054397,0.00294824317,93.798984,75.36,0.244678663,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,3.390000,3.250000,0.140000,0.136054397,0.00294824317,93.798984,71.99,0.302944632,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,3.490000,3.250000,0.240000,0.136054397,0.00294824317,93.798984,67.49,0.389820478,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,3.590000,3.750000,0.160000,0.0851242542,0.00294824317,57.9088654,62.39,0.071824565,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,3.690000,3.750000,0.060000,0.0851242542,0.00294824317,57.9088654,56.77,0.020061043,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,3.790000,3.750000,0.040000,0.0851242542,0.00294824317,57.9088654,52.43,0.104498673,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,3.900000,3.750000,0.150000,0.0851242542,0.00294824317,57.9088654,47.97,0.207189189,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,3.990000,3.750000,0.240000,0.0851242542,0.00294824317,57.9088654,44.58,0.298987560,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,4.470000,4.250000,0.220000,0.0569817312,0.00294824317,38.0770245,31.94,0.192142283,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,4.970000,4.750000,0.220000,0.0414755568,0.00294824317,27.1499309,24.17,0.123290479,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,5.470000,5.250000,0.220000,0.0308338869,0.00294824317,19.6508199,15.97,0.230483398,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,5.960000,5.750000,0.210000,0.0257128291,0.00294824317,16.0420459,11.31,0.418394865,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,6.460000,6.250000,0.210000,0.0227273069,0.00294824317,13.9381691,7.9,0.764325205,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,6.960000,6.750000,0.210000,0.0179424342,0.00294824317,10.5663025,5.51,0.917659255,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,7.450000,7.250000,0.200000,0.0158660151,0.00294824317,9.10306435,3.88,1.346150605,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,7.950000,7.750000,0.200000,0.0135131534,0.00294824317,7.44501901,2.71,1.747239488,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,8.450000,8.250000,0.200000,0.0123214331,0.00294824317,6.60522198,1.9,2.476432620,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,8.940000,8.750000,0.190000,0.010937877,0.00294824317,5.63023958,1.34,3.201671331,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,9.440000,9.250000,0.190000,0.00977572054,0.00294824317,4.81127598,0.93,4.173415034,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,9.940000,9.750000,0.190000,0.00951294228,0.00294824317,4.62609796,0.65,6.117073789,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,10.430000,10.250000,0.180000,0.00907087885,0.00294824317,4.31457893,0.46,8.379519408,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,10.930000,10.750000,0.180000,0.00955328345,0.00294824317,4.65452611,0.32,13.545394080,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,11.430000,11.250000,0.180000,0.00951655582,0.00294824317,4.6286444,0.22,20.039292724,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,11.920000,11.750000,0.170000,0.00809717178,0.00294824317,3.6284143,0.16,21.677589400,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,12.420000,12.250000,0.170000,0.00828874484,0.00294824317,3.76341451,0.11,33.212859197,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
NGC2403,12.920000,12.750000,0.170000,0.00795815513,0.00294824317,3.53045023,0.08,43.130627929,photometry_policy_stress_test_only_not_solver,no,no,route2_photometry_policy_background_only_does_not_validate_solver
