GalaxyName,Class,PointIndex,RadiusKpc,RadiusFraction,aN_over_a0,HistoryStatePriorMeanSignedResidual,Predicted_S_tau_history_v01,ModelVelocity_S_tau1,ModelVelocity_HistoryRule,SignedLogResidual_S_tau1,SignedLogResidual_HistoryRule,AbsLogResidual_S_tau1,AbsLogResidual_HistoryRule,DeltaAbsLogResidual_HistoryMinusS1,InterpretationGuardrail
CamB,A,1,0.16,0.0893855,0.0177076,0.000000000,1.000000000,7.962891329,7.962891329,-1.386657527,-1.386657527,1.386657527,1.386657527,0.000000000,causal_inner_residual_history_readout_not_external_prediction
CamB,A,2,0.41,0.22905,0.0413779,-1.386657527,0.500000000,17.129197092,12.527490483,-1.263869719,-0.951010747,1.263869719,0.951010747,-0.312858972,causal_inner_residual_history_readout_not_external_prediction
CamB,A,3,0.57,0.318436,0.047674,-1.325263623,0.500000000,21.189266984,15.610131972,-1.138043838,-0.832469247,1.138043838,0.832469247,-0.305574590,causal_inner_residual_history_readout_not_external_prediction
CamB,A,4,0.73,0.407821,0.0517756,-1.262857028,0.500000000,24.654874734,18.242504991,-1.022299843,-0.721079514,1.022299843,0.721079514,-0.301220329,causal_inner_residual_history_readout_not_external_prediction
CamB,A,5,0.9,0.502793,0.0509801,-1.202717732,0.500000000,27.233541041,20.133919053,-0.915686551,-0.613643119,0.915686551,0.613643119,-0.302043432,causal_inner_residual_history_readout_not_external_prediction
CamB,A,6,1.06,0.592179,0.0477359,-1.145311496,0.500000000,28.908221930,21.298130252,-0.806898739,-0.501391976,0.806898739,0.501391976,-0.305506763,causal_inner_residual_history_readout_not_external_prediction
CamB,A,7,1.22,0.681564,0.0417949,-1.088909369,0.500000000,29.648673855,21.694665341,-0.701569904,-0.389218900,0.701569904,0.389218900,-0.312351004,causal_inner_residual_history_readout_not_external_prediction
CamB,A,8,1.47,0.821229,0.0352171,-1.033575160,0.500000000,30.696346729,22.270806534,-0.602764762,-0.281897810,0.602764762,0.281897810,-0.320866952,causal_inner_residual_history_readout_not_external_prediction
CamB,A,9,1.79,1,0.0239742,-0.979723860,0.510138070,29.643530631,21.297316450,-0.388524095,-0.057861261,0.388524095,0.057861261,-0.330662834,causal_inner_residual_history_readout_not_external_prediction
DDO154,A,1,0.49,0.0827703,0.0494691,0.000000000,1.000000000,19.892339200,19.892339200,-0.365666101,-0.365666101,0.365666101,0.365666101,0.000000000,causal_inner_residual_history_readout_not_external_prediction
DDO154,A,2,0.99,0.16723,0.0440568,-0.365666101,0.817166950,27.190083895,24.542349279,-0.230159029,-0.127706853,0.230159029,0.127706853,-0.102452177,causal_inner_residual_history_readout_not_external_prediction
DDO154,A,3,1.48,0.25,0.0368617,-0.297912565,0.851043717,31.286144989,28.742986393,-0.079333752,0.005447809,0.079333752,0.005447809,-0.073885943,causal_inner_residual_history_readout_not_external_prediction
DDO154,A,4,1.97,0.33277,0.0334508,-0.225052961,0.887473520,34.912557403,32.741719545,-0.017701221,0.046495262,0.017701221,0.046495262,0.028794041,causal_inner_residual_history_readout_not_external_prediction
DDO154,A,5,2.47,0.41723,0.0295179,-0.173215026,0.913392487,37.440154897,35.620581415,0.020091727,0.069911915,0.020091727,0.069911915,0.049820188,causal_inner_residual_history_readout_not_external_prediction
DDO154,A,6,2.96,0.5,0.0277722,-0.134553675,0.932723162,40.127783618,38.601882562,0.045600666,0.084368572,0.045600666,0.084368572,0.038767906,causal_inner_residual_history_readout_not_external_prediction
DDO154,A,7,3.46,0.584459,0.0269119,-0.104527952,0.947736024,42.912266606,41.639963529,0.038576139,0.068673491,0.038576139,0.068673491,0.030097352,causal_inner_residual_history_readout_not_external_prediction
DDO154,A,8,3.95,0.66723,0.0239951,-0.084084510,0.957957745,44.048781493,42.984481783,0.049844271,0.074302799,0.049844271,0.074302799,0.024458528,causal_inner_residual_history_readout_not_external_prediction
DDO154,A,9,4.44,0.75,0.0202015,-0.067343413,0.966328294,43.955368272,43.088956840,0.075447467,0.095355486,0.075447467,0.095355486,0.019908019,causal_inner_residual_history_readout_not_external_prediction
DDO154,A,10,4.94,0.834459,0.0169671,-0.051477759,0.974261120,43.577383069,42.909193545,0.100820742,0.116272916,0.100820742,0.116272916,0.015452174,causal_inner_residual_history_readout_not_external_prediction
DDO154,A,11,5.43,0.91723,0.0142488,-0.036247909,0.981876045,42.915599932,42.444565696,0.099386834,0.110423341,0.099386834,0.110423341,0.011036507,causal_inner_residual_history_readout_not_external_prediction
