ExternalName,LVHIS_ID_Display,OpticalID,CanonicalSPARCNameCandidate,HIPASS_ID,Source,SourceURL,AllowedUse,InterpretationGuardrail
LVHIS001,LVHIS 001,ESO 349-G031,ESO349-G031,HIPASS J0008-34,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS002,LVHIS 002,ESO 294-G010,ESO294-G010,---,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS003,LVHIS 003,ESO 410-G005,ESO410-G005,HIPASS J0015-32,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS004,LVHIS 004,NGC 55,NGC0055,HIPASS J0015-39,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS007,LVHIS 007,NGC 247,NGC0247,HIPASS J0047-20,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS006,LVHIS 006,NGC 253,NGC0253,HIPASS J0047-25,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS005,LVHIS 005,NGC 300,NGC0300,HIPASS J0054-37,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS008,LVHIS 008,NGC 625,NGC0625,HIPASS J0135-41,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS009,LVHIS 009,ESO 245-G005,ESO245-G005,HIPASS J0145-43,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS010,LVHIS 010,ESO 245-G007,ESO245-G007,HIPASS J0150-44,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS011,LVHIS 011,ESO 115-G021,ESO115-G021,HIPASS J0237-61,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS012,LVHIS 012,ESO 154-G023,ESO154-G023,HIPASS J0256-54,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS013,LVHIS 013,ESO 199-G007,ESO199-G007,HIPASS J0258-49,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS014,LVHIS 014,NGC 1313,NGC1313,HIPASS J0317-66,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS015,LVHIS 015,NGC 1311,NGC1311,HIPASS J0320-52,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS016,LVHIS 016,AM 0319-662,AM0319-662,HIPASS J0321-66,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS017,LVHIS 017,IC 1959,IC1959,HIPASS J0333-50,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS018,LVHIS 018,NGC 1705,NGC1705,HIPASS J0454-53,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
LVHIS019,LVHIS 019,ESO 252-IG001,ESO252-IG001,HIPASS J0457-42,ATNF_LVHIS_database_Koribalski_etal_2018,https://www.narrabri.atnf.csiro.au/research/LVHIS/LVHIS-database.html,alias_resolution_only,lvhis_alias_resolved_reynolds2020_no_velocity_endpoint
