Survey,ExternalName,CanonicalSPARCNameCandidate,CanonicalizationMode,AmapAvailable,AvelAvailable,AlreadyInWTauEffSeed,ExpansionStatus,PreScorePriority,RequiredNextAudit,ExclusionReason,InterpretationGuardrail
LVHIS,LVHIS001,ESO349-G031,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS003,ESO410-G005,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS004,NGC0055,lvhis_database_optical_id_alias,yes,yes,yes,already_in_frozen_seed,high,none_existing_seed,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS005,NGC0300,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS006,NGC0253,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS007,NGC0247,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS008,NGC0625,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS009,ESO245-G005,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS010,ESO245-G007,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS011,ESO115-G021,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS012,ESO154-G023,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS013,ESO199-G007,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS014,NGC1313,lvhis_database_optical_id_alias,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
LVHIS,LVHIS015,NGC1311,lvhis_database_optical_id_alias,yes,no,no,predeclared_candidate_pending_sparc_rotmod_audit,medium,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
