GalaxyName,FileName,SuggestedUse,LocalRawPath,ExpectedBytes,ActualBytes,ExpectedChecksum,ActualMD5,Status,Error,PublicPacketUse,InterpretationGuardrail
NGC5055,NGC5055-HR_coldens.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC5055-HR_coldens.fits,4222080,4222080,md5:dd5f446c0e3d4af1953067a9f50d1804,dd5f446c0e3d4af1953067a9f50d1804,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC5055,NGC5055-HR_mom0m.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC5055-HR_mom0m.fits,4222080,4222080,md5:87fb69c50dcf4274f6324972b8ec58d1,87fb69c50dcf4274f6324972b8ec58d1,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC3198,NGC3198-HR_mom0m.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC3198-HR_mom0m.fits,4236480,4236480,md5:f4037301cc9d334c9d488a4d9f0992e8,f4037301cc9d334c9d488a4d9f0992e8,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC5055,NGC5055-HR_mom1m.fits,velocity_field_context,data/raw/external_validation_sources_v01/halogas/files/NGC5055-HR_mom1m.fits,4222080,4222080,md5:31e8ea06299e767018882ce35a228e14,31e8ea06299e767018882ce35a228e14,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC5055,NGC5055-LR_coldens.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC5055-LR_coldens.fits,4222080,4222080,md5:8a320b9546608dbfebd0b12191739d4f,8a320b9546608dbfebd0b12191739d4f,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC3198,NGC3198-HR_mom1m.fits,velocity_field_context,data/raw/external_validation_sources_v01/halogas/files/NGC3198-HR_mom1m.fits,4233600,4233600,md5:fcbd5b3e7fdd5271f6c72b22b5305603,fcbd5b3e7fdd5271f6c72b22b5305603,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC3198,NGC3198-LR_coldens.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC3198-LR_coldens.fits,4236480,4236480,md5:93d9882c698cba3717d6fb0fb99f891c,93d9882c698cba3717d6fb0fb99f891c,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC5055,NGC5055-LR_mom0m.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC5055-LR_mom0m.fits,4222080,4222080,md5:2997f313eec1f7e58ddbb5e98a5aa588,2997f313eec1f7e58ddbb5e98a5aa588,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC3198,NGC3198-LR_mom0m.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC3198-LR_mom0m.fits,4236480,4236480,md5:be16711535e16814475210250bf2c470,be16711535e16814475210250bf2c470,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC5055,NGC5055-LR_mom1m.fits,velocity_field_context,data/raw/external_validation_sources_v01/halogas/files/NGC5055-LR_mom1m.fits,4222080,4222080,md5:1ec2526bdd2a4affa1372880f52762d0,1ec2526bdd2a4affa1372880f52762d0,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
