Metric,N,Value,SecondaryValue,InterpretationGuardrail
reynolds2020_catalog_rows,142,142,LVHIS;VIVA;HALOGAS,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
exact_w_tau_eff_crossmatch_rows,4,4,HALOGAS,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
pearson_amap_vs_w_tau_score,4,0.514475616,bias-corrected moment-0 map asymmetry,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
pearson_avel_vs_w_tau_score,4,0.063521995,velocity-field asymmetry,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
minimum_non_whisp_asymmetry_gate,4,not_met,requires N>=15 from frozen target plan,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
