Metric,N,Value,SecondaryValue,InterpretationGuardrail
coverage_joined,13,13,expanded THINGS Table 3 resolver rows,things_table3_expanded_control_readout_no_velocity_endpoint
pearson_Ar_vs_w_tau_score,13,-0.310471908,median non-circular amplitude,things_table3_expanded_control_readout_no_velocity_endpoint
spearman_Ar_vs_w_tau_score,13,-0.310866869,rank direction,things_table3_expanded_control_readout_no_velocity_endpoint
auc_high_vs_low_Ar,13,0.345238095,median split by median non-circular amplitude,things_table3_expanded_control_readout_no_velocity_endpoint
pearson_ArOverVmaxPercent_vs_w_tau_score,13,0.321831406,non-circular amplitude over Vmax percent,things_table3_expanded_control_readout_no_velocity_endpoint
auc_high_vs_low_ArOverVmaxPercent,13,0.702380952,median split by non-circular over Vmax percent,things_table3_expanded_control_readout_no_velocity_endpoint
pearson_HarmonicResidualVelocity_vs_w_tau_score,13,-0.139373023,median absolute residual velocity after harmonic fit,things_table3_expanded_control_readout_no_velocity_endpoint
median_score_low_Ar,7,0.536363636,,things_table3_expanded_control_readout_no_velocity_endpoint
median_score_high_Ar,6,0.356818182,,things_table3_expanded_control_readout_no_velocity_endpoint
