CanonicalSPARCNameCandidate,AGC,InWTauEffSeed,FreezeRole,Af,e_Af,Ac,e_Ac,SN,Notes,ProfileQualityFlag,HasLocalSparcRotmod,LocalRotmodPath,ScoringPermission,DirectionalReadoutPermission,InterpretationGuardrail
UGC00128,000128,yes,anchor_existing_seed,1.04,0.07,1.15,0.12,143.7,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC00128_rotmod.dat,anchor_only_no_refit,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC00191,000191,yes,anchor_existing_seed,1.01,0.07,1.02,0.10,154.5,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC00191_rotmod.dat,anchor_only_no_refit,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC00634,000634,no,predeclared_expansion_candidate,1.06,0.07,1.19,0.12,138.8,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC00634_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC00891,000891,no,predeclared_expansion_candidate,1.02,0.07,1.08,0.11,226.4,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC00891_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC01230,001230,no,predeclared_expansion_candidate,1.02,0.07,1.02,0.10,143.9,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC01230_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC01281,001281,no,predeclared_expansion_candidate,1.06,0.07,1.05,0.10,276.7,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC01281_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC02455,002455,yes,anchor_existing_seed,1.13,0.08,1.19,0.12,489.4,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC02455_rotmod.dat,anchor_only_no_refit,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC02487,002487,no,predeclared_expansion_candidate,1.00,0.08,1.01,0.11,24.4,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC02487_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC05005,005005,no,predeclared_expansion_candidate,1.01,0.07,1.03,0.10,80.4,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC05005_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC05716,005716,yes,anchor_existing_seed,1.01,0.07,1.00,0.10,147.4,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC05716_rotmod.dat,anchor_only_no_refit,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC05721,005721,no,predeclared_expansion_candidate,1.07,0.08,1.20,0.12,449.0,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC05721_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC05750,005750,no,predeclared_expansion_candidate,1.08,0.08,1.11,0.12,33.8,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC05750_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC05764,005764,yes,anchor_existing_seed,1.02,0.07,1.04,0.10,128.8,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC05764_rotmod.dat,anchor_only_no_refit,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC05829,005829,yes,anchor_existing_seed,1.02,0.07,1.07,0.11,355.3,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC05829_rotmod.dat,anchor_only_no_refit,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC05999,005999,no,predeclared_expansion_candidate,1.06,0.08,1.08,0.11,82.6,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC05999_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC06614,006614,no,predeclared_expansion_candidate,1.02,0.07,1.21,0.12,97.0,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC06614_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC06786,006786,no,predeclared_expansion_candidate,1.01,0.07,1.06,0.11,100.9,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC06786_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC07261,007261,no,predeclared_expansion_candidate,1.01,0.07,1.05,0.11,217.8,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC07261_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC07524,007524,no,predeclared_expansion_candidate,1.05,0.07,1.12,0.11,1289.1,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC07524_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC07603,007603,yes,anchor_existing_seed,1.03,0.07,1.05,0.11,324.5,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC07603_rotmod.dat,anchor_only_no_refit,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC09037,009037,no,predeclared_expansion_candidate,1.08,0.08,1.21,0.12,83.8,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC09037_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC09133,009133,no,predeclared_expansion_candidate,1.09,0.08,1.27,0.13,78.4,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC09133_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC11820,011820,no,predeclared_expansion_candidate,1.07,0.08,1.20,0.12,243.7,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC11820_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC11914,011914,no,predeclared_expansion_candidate,1.04,0.07,1.03,0.11,81.1,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC11914_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC12506,012506,no,predeclared_expansion_candidate,1.01,0.07,1.05,0.11,87.7,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC12506_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
UGC12732,012732,no,predeclared_expansion_candidate,1.07,0.07,1.20,0.12,555.0,1,primary_quality,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/UGC12732_rotmod.dat,allowed_after_expanded_scoring_script_committed,closed_until_expanded_scores_committed,yu2022_alfalfa_seed_expansion_freeze_no_directional_readout
