GalaxyName,PublishedName,MedianNonCircularAmplitudeKms,MedianNonCircularAmplitudeInner1KpcKms,NonCircularAmplitudeOverVmaxPercent,PotentialElongationMean,PotentialElongationUncertainty,MedianAbsResidualVelocityAfterHarmonicKms,RmaxArcsec,Source,AllowedUse,InterpretationGuardrail,Class,W_tau_eff_candidate_score_v01,CandidateConfidenceTier,ReadoutUse
NGC2366,NGC 2366,2.940000000,1.170000000,5.300000000,0.004000000,0.066000000,2.400000000,252.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint,C,0.759090909,high_candidate,THINGS_Table3_expanded_overlap_no_velocity_endpoint
NGC2403,NGC 2403,4.030000000,2.600000000,3.000000000,-0.022000000,0.025000000,2.900000000,950.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint,A,0.168181818,low_or_control_candidate,THINGS_Table3_expanded_overlap_no_velocity_endpoint
NGC2976,NGC 2976,2.810000000,2.180000000,3.500000000,-0.010000000,0.018000000,2.100000000,147.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint,C,0.663636364,medium_candidate,THINGS_Table3_expanded_overlap_no_velocity_endpoint
NGC3198,NGC 3198,4.490000000,1.500000000,3.000000000,0.016000000,0.020000000,2.600000000,565.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint,A,0.304545455,low_or_control_candidate,THINGS_Table3_expanded_overlap_no_velocity_endpoint
IC2574,IC 2574,3.750000000,1.360000000,5.400000000,0.012000000,0.047000000,2.700000000,505.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint,C,0.718181818,high_candidate,THINGS_Table3_expanded_overlap_no_velocity_endpoint
DDO154,DDO 154,1.610000000,1.430000000,3.400000000,0.024000000,0.033000000,1.200000000,325.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint,A,0.213636364,low_or_control_candidate,THINGS_Table3_expanded_overlap_no_velocity_endpoint
NGC5055,NGC 5055,4.110000000,8.380000000,2.200000000,-0.003000000,0.025000000,3.100000000,450.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint,C,0.536363636,medium_candidate,THINGS_Table3_expanded_overlap_no_velocity_endpoint
NGC7331,NGC 7331,5.940000000,,2.600000000,-0.003000000,0.017000000,4.200000000,297.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint,A,0.409090909,low_or_control_candidate,THINGS_Table3_expanded_overlap_no_velocity_endpoint
