Survey,ExternalName,CanonicalSPARCNameCandidate,ExpansionStatus,PreScorePriority,RotmodAvailable,LocalRotmodPath,RotmodSHA256,DistanceMpcFromRotmod,NRotmodPoints,MinRadiusKpc,MaxRadiusKpc,PassesMinimumRadialPointGate,AllowedPublicUse,InterpretationGuardrail
LVHIS,LVHIS001,ESO349-G031,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS003,ESO410-G005,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS004,NGC0055,already_in_frozen_seed,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS005,NGC0300,predeclared_candidate_pending_sparc_rotmod_audit,high,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/NGC0300_rotmod.dat,6de38f88fb215142f97ef6150ad6d71e0e5e85e8b09d619d0d3d5caae074fb3e,2.08,25,0.910000000,11.800000000,yes,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS006,NGC0253,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS007,NGC0247,predeclared_candidate_pending_sparc_rotmod_audit,high,yes,/Users/jolcsak/Projects/tau-core/data/sparc/Rotmod_LTG/NGC0247_rotmod.dat,7a847529ab0ccacf58d8b0ecab702cf3dbb7c3590d5781e28ab59ebb6e68115f,3.7,26,1.080000000,14.540000000,yes,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS008,NGC0625,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS009,ESO245-G005,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS010,ESO245-G007,predeclared_candidate_pending_sparc_rotmod_audit,medium,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
LVHIS,LVHIS011,ESO115-G021,predeclared_candidate_pending_sparc_rotmod_audit,high,no,,,,0,,,no,derived_availability_manifest_only,reynolds2020_sparc_rotmod_availability_no_raw_redistribution
