GalaxyName,PublishedName,InOriginalWTauEffSeed,InExpandedWTauEffResolver,ScoreSource,W_tau_eff_score_resolved_v01,MedianNonCircularAmplitudeKms,NonCircularAmplitudeOverVmaxPercent,AllowedUse,InterpretationGuardrail
NGC925,NGC 925,no,no,,,6.300000000,5.500000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
NGC2366,NGC 2366,yes,yes,frozen_original_w_tau_eff_seed,0.759090909,2.940000000,5.300000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
NGC2403,NGC 2403,yes,yes,frozen_original_w_tau_eff_seed,0.168181818,4.030000000,3.000000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
NGC2841,NGC 2841,no,no,,,6.710000000,2.600000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
NGC2903,NGC 2903,no,no,,,6.100000000,3.200000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
NGC2976,NGC 2976,yes,yes,frozen_original_w_tau_eff_seed,0.663636364,2.810000000,3.500000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
NGC3031,NGC 3031,no,no,,,9.140000000,4.600000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
NGC3198,NGC 3198,yes,yes,frozen_original_w_tau_eff_seed,0.304545455,4.490000000,3.000000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
IC2574,IC 2574,yes,yes,frozen_original_w_tau_eff_seed,0.718181818,3.750000000,5.400000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
NGC3521,NGC 3521,no,no,,,8.800000000,4.200000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
NGC3621,NGC 3621,no,no,,,3.360000000,2.400000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
NGC3627,NGC 3627,no,no,,,28.490000000,14.700000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
NGC4736,NGC 4736,no,no,,,10.010000000,8.300000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
DDO154,DDO 154,yes,yes,frozen_original_w_tau_eff_seed,0.213636364,1.610000000,3.400000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
NGC5055,NGC 5055,yes,yes,frozen_original_w_tau_eff_seed,0.536363636,4.110000000,2.200000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
NGC6946,NGC 6946,no,no,,,7.280000000,3.600000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
NGC7331,NGC 7331,yes,yes,frozen_original_w_tau_eff_seed,0.409090909,5.940000000,2.600000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
NGC7793,NGC 7793,no,no,,,5.080000000,3.900000000,resolver_coverage_audit_only,things_control_gate_no_velocity_endpoint_no_tau_attribution
