ExternalName,CanonicalSPARCName,SourceFamily,InWTauEff,Class,W_tau_eff_candidate_score_v01,CandidateConfidenceTier,AliasResolution,AllowedUse,InterpretationGuardrail
DDO154,DDO154,LITTLE_THINGS,yes,A,0.213636364,low_or_control_candidate,exact_name_match,join_key_only,alias_crossmatch_join_only_no_velocity_endpoint
DDO154,DDO154,THINGS,yes,A,0.213636364,low_or_control_candidate,exact_name_match,join_key_only,alias_crossmatch_join_only_no_velocity_endpoint
DDO168,,LITTLE_THINGS,no,,,,unmatched,join_key_only,alias_crossmatch_join_only_no_velocity_endpoint
NGC2366,NGC2366,LITTLE_THINGS,yes,C,0.759090909,high_candidate,exact_name_match,join_key_only,alias_crossmatch_join_only_no_velocity_endpoint
NGC2366,NGC2366,THINGS,yes,C,0.759090909,high_candidate,exact_name_match,join_key_only,alias_crossmatch_join_only_no_velocity_endpoint
NGC2403,NGC2403,HALOGAS,yes,A,0.168181818,low_or_control_candidate,exact_name_match,join_key_only,alias_crossmatch_join_only_no_velocity_endpoint
NGC2403,NGC2403,THINGS,yes,A,0.168181818,low_or_control_candidate,exact_name_match,join_key_only,alias_crossmatch_join_only_no_velocity_endpoint
NGC2976,NGC2976,THINGS,yes,C,0.663636364,medium_candidate,exact_name_match,join_key_only,alias_crossmatch_join_only_no_velocity_endpoint
NGC3198,NGC3198,HALOGAS,yes,A,0.304545455,low_or_control_candidate,exact_name_match,join_key_only,alias_crossmatch_join_only_no_velocity_endpoint
NGC3198,NGC3198,THINGS,yes,A,0.304545455,low_or_control_candidate,exact_name_match,join_key_only,alias_crossmatch_join_only_no_velocity_endpoint
NGC4559,NGC4559,HALOGAS,yes,A,0.600000000,medium_candidate,exact_name_match,join_key_only,alias_crossmatch_join_only_no_velocity_endpoint
NGC5055,NGC5055,HALOGAS,yes,C,0.536363636,medium_candidate,exact_name_match,join_key_only,alias_crossmatch_join_only_no_velocity_endpoint
NGC5055,NGC5055,THINGS,yes,C,0.536363636,medium_candidate,exact_name_match,join_key_only,alias_crossmatch_join_only_no_velocity_endpoint
NGC5585,NGC5585,HALOGAS,yes,A,0.327272727,low_or_control_candidate,exact_name_match,join_key_only,alias_crossmatch_join_only_no_velocity_endpoint
NGC7331,NGC7331,THINGS,yes,A,0.409090909,low_or_control_candidate,exact_name_match,join_key_only,alias_crossmatch_join_only_no_velocity_endpoint
