GalaxyName,Class,Projection_RMS,AbsFinalMeanSignedResidual,MaxAbsCumulativeMeanResidual,SignImbalance,MaxSameSignRunFraction,HistoryDeltaRMS_HistoryMinusS1,HistoryImprovement_PositiveIsBetter,Median_S_tau_eff_clipped,TauCoreSignalCandidateScore_v01,InterpretationGuardrail
CamB,A,0.963585384,0.914034998,1.386657527,1.000000000,1.000000000,-0.225535469,0.225535469,0.000000000,0.854545455,tau_core_signal_candidate_not_attribution_or_proof
DDO154,A,0.138812041,0.015609254,0.365666101,0.333333333,0.666666667,-0.004593425,0.004593425,1.075937486,0.213636364,tau_core_signal_candidate_not_attribution_or_proof
ESO079-G014,A,0.116776650,0.023903266,0.104414536,0.466666667,0.666666667,0.000482269,-0.000482269,1.150995878,0.136363636,tau_core_signal_candidate_not_attribution_or_proof
ESO116-G012,A,0.118483994,0.087400328,0.087400328,0.600000000,0.800000000,-0.008566997,0.008566997,1.278820709,0.254545455,tau_core_signal_candidate_not_attribution_or_proof
IC2574,C,0.221285260,0.186301949,0.508875693,1.000000000,1.000000000,-0.072542889,0.072542889,0.764630398,0.718181818,tau_core_signal_candidate_not_attribution_or_proof
NGC0055,C,0.204516651,0.188681855,0.395332399,1.000000000,1.000000000,-0.053194637,0.053194637,0.719293901,0.681818182,tau_core_signal_candidate_not_attribution_or_proof
NGC1705,C,0.354417125,0.350111963,0.457663102,1.000000000,1.000000000,-0.071876804,0.071876804,1.832393402,0.759090909,tau_core_signal_candidate_not_attribution_or_proof
NGC2366,C,0.250878781,0.211342066,0.529512901,1.000000000,1.000000000,-0.068583227,0.068583227,0.715690471,0.759090909,tau_core_signal_candidate_not_attribution_or_proof
NGC2403,A,0.084927422,0.063210375,0.071621434,0.616438356,0.534246575,-0.007521637,0.007521637,1.207367038,0.168181818,tau_core_signal_candidate_not_attribution_or_proof
NGC2976,C,0.239111203,0.149556322,0.745539420,0.925925926,0.925925926,-0.043934169,0.043934169,0.751159293,0.663636364,tau_core_signal_candidate_not_attribution_or_proof
NGC3109,C,0.175872342,0.128416526,0.128416526,0.680000000,0.800000000,-0.015482205,0.015482205,1.312652669,0.363636364,tau_core_signal_candidate_not_attribution_or_proof
