GalaxyName,Resolution,Product,FileName,FinitePixels,PositivePixels,PositiveFraction,Mean,Median,P90,P10,RobustSpread,SumPositive,AllowedUse,InterpretationGuardrail
NGC5055,HR,coldens,NGC5055-HR_coldens.fits,1048576,116193,0.110810280,27691835202300018688.000000000,0.000000000,44396392767641616384.000000000,0.000000000,44396392767641616384.000000000,29036993789086944395788288.000000000,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC5055,HR,mom0,NGC5055-HR_mom0m.fits,1048576,116193,0.110810280,0.006671913,0.000000000,0.010696614,0.000000000,0.010696614,6996.007476750,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC3198,HR,mom0,NGC3198-HR_mom0m.fits,1048576,21951,0.020934105,0.003840395,0.000000000,0.000000000,0.000000000,0.000000000,4026.946449254,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC5055,HR,mom1,NGC5055-HR_mom1m.fits,116193,116193,1.000000000,494.541191243,488.765533447,641.171765137,359.732678223,281.439086914,57462224.634048462,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC5055,LR,coldens,NGC5055-LR_coldens.fits,1048576,157822,0.150510788,30715057857280016384.000000000,0.000000000,71000365229309689856.000000000,0.000000000,71000365229309689856.000000000,32207080985400568205803520.000000000,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC3198,HR,mom1,NGC3198-HR_mom1m.fits,21951,21951,1.000000000,664.231458608,671.409118652,793.395629883,522.709350586,270.686279297,14580544.747894287,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC3198,LR,coldens,NGC3198-LR_coldens.fits,1048576,29979,0.028590202,17061812246254194688.000000000,0.000000000,0.000000000,0.000000000,0.000000000,17890612501641001105883136.000000000,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC5055,LR,mom0,NGC5055-LR_mom0m.fits,1048576,157822,0.150510788,0.032719862,0.000000000,0.075634636,0.000000000,0.075634636,34309.270949665,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC3198,LR,mom0,NGC3198-LR_mom0m.fits,1048576,29979,0.028590202,0.018225951,0.000000000,0.000000000,0.000000000,0.000000000,19111.300954399,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC5055,LR,mom1,NGC5055-LR_mom1m.fits,157826,157826,1.000000000,497.184228956,493.832214355,641.331756592,359.089630127,282.242126465,78468598.119262695,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC4559,LR,mom1,NGC4559-LR_mom1m.fits,34230,34230,1.000000000,801.299108905,790.745849609,910.296295166,708.196624756,202.099670410,27428468.497802734,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC4559,LR,mom0,NGC4559-LR_mom0m.fits,1048576,34230,0.032644272,0.026418012,0.000000000,0.000000000,0.000000000,0.000000000,27701.293567576,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC4559,LR,coldens,NGC4559-LR_coldens.fits,1048576,34230,0.032644272,22238165780731002880.000000000,0.000000000,0.000000000,0.000000000,0.000000000,23318406921695792075898880.000000000,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC4559,HR,mom1,NGC4559-HR_mom1m.fits,25216,25216,1.000000000,805.341542539,801.731506348,909.711639404,708.778381348,200.933258057,20307492.336669922,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC4559,HR,mom0,NGC4559-HR_mom0m.fits,1048576,25216,0.024047852,0.007415023,0.000000000,0.000000000,0.000000000,0.000000000,7775.215415957,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC2403,LR,mom1,NGC2403-LR_mom1m.fits,166978,166966,0.999928134,131.895573928,132.158645630,237.264521790,29.383824730,207.880697060,22023747.251131117,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC2403,LR,mom0,NGC2403-LR_mom0m.fits,606975,166978,0.275098645,0.131450765,0.000000000,0.481574285,0.000000000,0.481574285,79787.327840135,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC4559,HR,coldens,NGC4559-HR_coldens.fits,1048576,25216,0.024047852,22027381535104040960.000000000,0.000000000,0.000000000,0.000000000,0.000000000,23097383620553254853672960.000000000,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC3198,HR,coldens,NGC3198-HR_coldens.fits,1048576,21951,0.020934105,16564136234523295744.000000000,0.000000000,0.000000000,0.000000000,0.000000000,17368755716251499358060544.000000000,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC2403,LR,coldens,NGC2403-LR_coldens.fits,606975,166978,0.275098645,167062754248878555136.000000000,0.000000000,612039991563333795840.000000000,0.000000000,612039991563333795840.000000000,101402915260213070101741568.000000000,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC2403,HR,mom1,NGC2403-HR_mom1m.fits,135897,135865,0.999764528,133.424130396,134.656219482,237.194824219,30.146398163,207.048426056,18132054.213615179,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC2403,HR,mom0,NGC2403-HR_mom0m.fits,606975,135897,0.223892253,0.028900649,0.000000000,0.105766824,0.000000000,0.105766824,17541.971599395,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC2403,HR,coldens,NGC2403-HR_coldens.fits,606975,135897,0.223892253,157868395219710279680.000000000,0.000000000,577746150005818785792.000000000,0.000000000,577746150005818785792.000000000,95822169188483638692413440.000000000,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC3198,LR,mom1,NGC3198-LR_mom1m.fits,29981,29981,1.000000000,667.532251262,679.001159668,793.213989258,524.474670410,268.739318848,20013284.425079346,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC5585,HR,coldens,NGC5585-HR_coldens.fits,1048576,25265,0.024094582,9834045779423002624.000000000,0.000000000,0.000000000,0.000000000,0.000000000,10311755106150699052826624.000000000,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC5585,HR,mom0,NGC5585-HR_mom0m.fits,1048576,25265,0.024094582,0.001980479,0.000000000,0.000000000,0.000000000,0.000000000,2076.684859668,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC5585,HR,mom1,NGC5585-HR_mom1m.fits,25266,25266,1.000000000,307.407627378,311.053909302,361.582641602,244.806243896,116.776397705,7766961.113327026,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC5585,LR,coldens,NGC5585-LR_coldens.fits,1048576,32861,0.031338692,10162930533922504704.000000000,0.000000000,0.000000000,0.000000000,0.000000000,10656605047538324292501504.000000000,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC5585,LR,mom0,NGC5585-LR_mom0m.fits,1048576,32861,0.031338692,0.010505278,0.000000000,0.000000000,0.000000000,0.000000000,11015.581924030,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
NGC5585,LR,mom1,NGC5585-LR_mom1m.fits,32861,32861,1.000000000,305.926636888,305.980804443,359.097320557,249.094085693,110.003234863,10053055.214767456,external_halogas_moment_proxy_only,halogas_moment_features_external_proxy_only_no_velocity_endpoint
