Metric,N,Value,SecondaryValue,InterpretationGuardrail
coverage_joined,45,45,,multivariable_stress_no_velocity_endpoint_no_formula_selection
pearson_tau_distance_raw_vs_w_tau_score,45,0.404324367,nearer_higher_distance_candidate,multivariable_stress_no_velocity_endpoint_no_formula_selection
auc_nearer_vs_farther_tau_distance_raw,45,0.771739130,raw median sign split,multivariable_stress_no_velocity_endpoint_no_formula_selection
partial_pearson_tau_distance_after_nuisance_vs_score_after_nuisance,45,0.434416486,controls=angular_radius;npoints;mean_err;inclination_error;distance_fractional_error;max_radius,multivariable_stress_no_velocity_endpoint_no_formula_selection
partial_auc_tau_distance_residual_high_vs_low_score_residual,45,0.662000000,residual sign split after nuisance controls,multivariable_stress_no_velocity_endpoint_no_formula_selection
nuisance_model_r2_for_w_tau_score,45,0.207747757,linear nuisance-only score model no velocity endpoint,multivariable_stress_no_velocity_endpoint_no_formula_selection
pearson_AngularRadiusProxy_KpcPerMpc_z_vs_w_tau_score,45,-0.130143068,nuisance channel,multivariable_stress_no_velocity_endpoint_no_formula_selection
pearson_NPoints_z_vs_w_tau_score,45,-0.256276232,nuisance channel,multivariable_stress_no_velocity_endpoint_no_formula_selection
pearson_MeanErrVobsKms_z_vs_w_tau_score,45,-0.196321724,nuisance channel,multivariable_stress_no_velocity_endpoint_no_formula_selection
pearson_InclinationErrorDeg_z_vs_w_tau_score,45,0.251685097,nuisance channel,multivariable_stress_no_velocity_endpoint_no_formula_selection
pearson_DistanceFractionalError_z_vs_w_tau_score,45,-0.155582292,nuisance channel,multivariable_stress_no_velocity_endpoint_no_formula_selection
pearson_MaxRadiusKpc_z_vs_w_tau_score,45,-0.335456594,nuisance channel,multivariable_stress_no_velocity_endpoint_no_formula_selection
