Survey,ExternalName,logrho,logMass,DVsys,DVsysopt,Aspec,Aflux,Apeak,Amap,A1_inner,A2_outer,Avel,Source,AllowedUse,InterpretationGuardrail
LVHIS,LVHIS020,-0.980000000,7.600000000,1,,0.138000000,1.090000000,1.160000000,0.080000000,0.070000000,0.120000000,0.034000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS021,-1.130000000,7.900000000,1,4,0.164000000,1.120000000,1.030000000,0.180000000,0.210000000,,0.079000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS022,-1.120000000,8.900000000,3,25,0.226000000,1.070000000,1.480000000,0.190000000,0.240000000,,0.149000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS023,-1.460000000,7.200000000,1,,0.270000000,1.290000000,,0.740000000,0.670000000,0.920000000,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS024,-1.150000000,7.800000000,0,,0.140000000,1.080000000,1.000000000,0.070000000,0.020000000,0.140000000,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS025,-1.600000000,6.200000000,0,,0.160000000,1.040000000,1.070000000,0.130000000,0.150000000,,0.021000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS026,-1.650000000,8.100000000,0,1,0.132000000,1.040000000,1.130000000,0.080000000,0.140000000,0.170000000,0.015000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS027,-1.750000000,8.400000000,0,18,0.140000000,1.040000000,1.090000000,0.150000000,0.170000000,0.180000000,0.027000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS028,-1.660000000,8.000000000,0,,0.170000000,1.020000000,,0.040000000,0.140000000,,0.054000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS029,-1.580000000,7.400000000,0,,0.114000000,1.050000000,,0.170000000,0.230000000,,0.045000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS030,-1.850000000,8.000000000,0,,0.138000000,1.010000000,1.050000000,0.160000000,0.080000000,0.140000000,0.029000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS031,-1.530000000,9.700000000,1,11,0.052000000,1.010000000,1.010000000,0.200000000,0.140000000,,0.063000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS032,-1.610000000,,2,,0.424000000,1.220000000,,,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS033,-1.690000000,7.700000000,2,,0.124000000,1.130000000,,,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS034,-1.820000000,8.100000000,1,,0.246000000,1.020000000,,0.090000000,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS035,-1.910000000,7.300000000,0,,0.206000000,1.040000000,,0.160000000,0.200000000,0.240000000,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS036,-1.980000000,7.500000000,0,21,0.278000000,1.140000000,1.210000000,0.160000000,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS037,-2.020000000,7.000000000,0,12,0.252000000,1.040000000,,0.090000000,0.050000000,0.100000000,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS038,-1.740000000,8.200000000,1,1,0.230000000,1.060000000,,0.140000000,0.130000000,0.260000000,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS039,-2.030000000,7.200000000,2,33,0.160000000,1.010000000,,0.170000000,0.180000000,0.280000000,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS040,-2.060000000,7.400000000,0,5,0.108000000,1.010000000,1.030000000,0.040000000,0.050000000,0.140000000,0.022000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS041,-1.720000000,7.100000000,0,,0.184000000,1.120000000,,0.110000000,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS042,-2.080000000,7.800000000,0,,0.322000000,1.170000000,,0.050000000,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS043,-1.770000000,10.100000000,0,5,0.110000000,1.120000000,,0.190000000,0.230000000,0.380000000,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
