GalaxyName,Class,RadiusKpc,RadiusFraction,JoinRadiusDeltaKpc,StressDispersionOverRotationScale,S_tau_source_percentile,S_tau_source_log,aN_over_a0,VobsKms,VbarKms,ModelVelocity_S_tau1,ModelVelocity_SourcePercentile,ModelVelocity_SourceLog,AbsLogResidual_S_tau1,AbsLogResidual_SourcePercentile,AbsLogResidual_SourceLog,DeltaAbsLogResidual_SourcePercentileMinusS1,DeltaAbsLogResidual_SourceLogMinusS1,InterpretationGuardrail
DDO154,A,0.49,0.0827703,0.000000000,2.868348251,0.000000000,0.000000000,0.0494691,13.800000000,9.473945852,19.892339200,9.473945852,9.473945852,0.365666101,0.376123103,0.376123103,0.010457002,0.010457002,things_source_s_tau_velocity_readout_no_refit_not_validation
DDO154,A,0.99,0.16723,0.000000000,2.235606942,0.000000000,0.000000000,0.0440568,21.600000000,12.708377158,27.190083895,12.708377158,12.708377158,0.230159029,0.530431920,0.530431920,0.300272890,0.300272890,things_source_s_tau_velocity_readout_no_refit_not_validation
DDO154,A,1.48,0.25,0.000000000,1.548471645,0.000000000,0.000000000,0.0368617,28.900000000,14.212957117,31.286144989,14.212957117,14.212957117,0.079333752,0.709687574,0.709687574,0.630353821,0.630353821,things_source_s_tau_velocity_readout_no_refit_not_validation
DDO154,A,1.97,0.33277,0.000000000,1.174376483,0.000000000,0.000000000,0.0334508,34.300000000,15.620761825,34.912557403,15.620761825,15.620761825,0.017701221,0.786544439,0.786544439,0.768843217,0.768843217,things_source_s_tau_velocity_readout_no_refit_not_validation
DDO154,A,2.47,0.41723,0.000000000,1.052275860,0.000000000,0.000000000,0.0295179,38.200000000,16.430736441,37.440154897,16.430736441,16.430736441,0.020091727,0.843681762,0.843681762,0.823590035,0.823590035,things_source_s_tau_velocity_readout_no_refit_not_validation
DDO154,A,2.96,0.5,0.000000000,1.107041166,0.000000000,0.000000000,0.0277722,42.000000000,17.446856450,40.127783618,17.446856450,17.446856450,0.045600666,0.878510132,0.878510132,0.832909466,0.832909466,things_source_s_tau_velocity_readout_no_refit_not_validation
DDO154,A,3.46,0.584459,0.000000000,0.931621771,0.000000000,0.000000000,0.0269119,44.600000000,18.568480013,42.912266606,18.568480013,18.568480013,0.038576139,0.876268339,0.876268339,0.837692200,0.837692200,things_source_s_tau_velocity_readout_no_refit_not_validation
DDO154,A,3.95,0.66723,0.000000000,0.690359071,0.000000000,0.000000000,0.0239951,46.300000000,18.733780985,44.048781493,18.733780985,18.733780985,0.049844271,0.904813597,0.904813597,0.854969326,0.854969326,things_source_s_tau_velocity_readout_no_refit_not_validation
DDO154,A,4.44,0.75,0.000000000,0.627438919,0.000000000,0.000000000,0.0202015,47.400000000,18.224227007,43.955368272,18.224227007,18.224227007,0.075447467,0.955870366,0.955870366,0.880422899,0.880422899,things_source_s_tau_velocity_readout_no_refit_not_validation
DDO154,A,4.94,0.834459,0.000000000,0.625561927,0.000000000,0.000000000,0.0169671,48.200000000,17.617064171,43.577383069,17.617064171,17.617064171,0.100820742,1.006491034,1.006491034,0.905670291,0.905670291,things_source_s_tau_velocity_readout_no_refit_not_validation
DDO154,A,5.43,0.91723,0.000000000,0.546388127,0.076195961,0.037342648,0.0142488,47.400000000,16.926005140,42.915599932,18.906307291,17.896525430,0.099386834,0.919126643,0.974015645,0.819739809,0.874628811,things_source_s_tau_velocity_readout_no_refit_not_validation
DDO154,A,5.92,1,0.000000000,0.485259845,0.179583588,0.089791010,0.0120527,45.500000000,16.254334806,42.179364903,20.910044730,18.582169443,0.075781208,0.777482673,0.895509837,0.701701466,0.819728629,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,0.12,0.019802,0.000000000,6.541669106,0.000000000,0.000000000,0.0170808,4.200000000,2.754931941,6.808057386,2.754931941,2.754931941,0.483022295,0.421691787,0.421691787,-0.061330508,-0.061330508,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,0.36,0.0594059,0.000000000,3.434442532,0.000000000,0.000000000,0.0468406,9.410000000,7.901841558,16.739588119,7.901841558,7.901841558,0.576003507,0.174677113,0.174677113,-0.401326394,-0.401326394,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,0.59,0.0973597,0.000000000,3.768856713,0.000000000,0.000000000,0.0590848,15.300000000,11.361342350,23.166086285,11.361342350,11.361342350,0.414836583,0.297636257,0.297636257,-0.117200325,-0.117200325,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,0.83,0.136964,0.000000000,3.477536026,0.000000000,0.000000000,0.0687225,18.400000000,14.532972855,28.889970999,14.532972855,14.532972855,0.451143846,0.235930607,0.235930607,-0.215213239,-0.215213239,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,1.07,0.176568,0.000000000,2.145374989,0.000000000,0.000000000,0.0731464,23.400000000,17.023717279,33.484280015,17.023717279,17.023717279,0.358340053,0.318128517,0.318128517,-0.040211536,-0.040211536,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,1.31,0.216172,0.000000000,1.999156579,0.000000000,0.000000000,0.0754616,28.100000000,19.132186232,37.431687622,19.132186232,19.132186232,0.286748032,0.384397517,0.384397517,0.097649485,0.097649485,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,1.54,0.254125,0.000000000,1.727260413,0.000000000,0.000000000,0.0748255,33.100000000,20.656235136,40.472004254,20.656235136,20.656235136,0.201077200,0.471516065,0.471516065,0.270438865,0.270438865,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,1.79,0.29538,0.000000000,1.498816342,0.000000000,0.000000000,0.0751692,37.500000000,22.320934120,43.699412108,22.320934120,22.320934120,0.152993716,0.518815945,0.518815945,0.365822229,0.365822229,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,2.02,0.333333,0.000000000,1.354142162,0.000000000,0.000000000,0.0759727,40.500000000,23.838022149,46.584698380,23.838022149,23.838022149,0.139970152,0.530020099,0.530020099,0.390049947,0.390049947,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,2.26,0.372937,0.000000000,1.121731975,0.000000000,0.000000000,0.0734763,42.300000000,24.796695344,48.735674682,24.796695344,24.796695344,0.141624216,0.534076694,0.534076694,0.392452478,0.392452478,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,2.49,0.410891,0.000000000,1.033458465,0.000000000,0.000000000,0.0684866,45.200000000,25.128598250,49.982032168,25.128598250,25.128598250,0.100566497,0.587090517,0.587090517,0.486524019,0.486524019,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,2.74,0.452145,0.000000000,0.802076206,0.000000000,0.000000000,0.0643421,47.400000000,25.549874755,51.358397867,25.549874755,25.549874755,0.080206236,0.617989814,0.617989814,0.537783578,0.537783578,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,2.97,0.490099,0.000000000,0.744084892,0.000000000,0.000000000,0.0624508,48.100000000,26.206755808,52.943507532,26.206755808,26.206755808,0.095943272,0.607264944,0.607264944,0.511321672,0.511321672,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,3.21,0.529703,0.000000000,0.681528951,0.000000000,0.000000000,0.0604668,48.800000000,26.808761627,54.453238276,26.808761627,26.808761627,0.109612007,0.599001552,0.599001552,0.489389545,0.489389545,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,3.44,0.567657,0.000000000,0.641313956,0.000000000,0.000000000,0.0584461,50.700000000,27.284929906,55.735548252,27.284929906,27.284929906,0.094692242,0.619591379,0.619591379,0.524899137,0.524899137,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,3.69,0.608911,0.000000000,0.486725841,0.177104117,0.088508101,0.0557282,52.100000000,27.594123469,56.814642009,32.769197603,30.180376075,0.086629126,0.463675972,0.545973034,0.377046846,0.459343909,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,3.92,0.646865,0.000000000,0.500303888,0.154139263,0.076685572,0.0534911,53.000000000,27.864402021,57.760838408,32.472616692,30.157027346,0.086019096,0.489894743,0.563873938,0.403875646,0.477854842,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,4.16,0.686469,0.000000000,0.512735420,0.133113535,0.065954775,0.0504328,53.700000000,27.872053207,58.338261114,31.927517840,29.881445095,0.082845156,0.519944735,0.586175279,0.437099579,0.503330123,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,4.4,0.726073,0.000000000,0.486309509,0.177808268,0.088872309,0.0477724,51.200000000,27.898492791,58.912424110,33.413026203,30.654772478,0.140312472,0.426793702,0.512951173,0.286481230,0.372638701,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,4.64,0.765677,0.000000000,0.462619369,0.217875930,0.109766344,0.0454744,51.600000000,27.951716405,59.498793358,34.825065135,31.414523706,0.142434360,0.393184282,0.496251348,0.250749922,0.353816988,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,4.87,0.80363,0.000000000,0.412301916,0.302978961,0.155291001,0.0443976,51.500000000,28.295027832,60.463182209,38.041301822,33.290452726,0.160452814,0.302909348,0.436311157,0.142456535,0.275858343,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,5.11,0.843234,0.000000000,0.379207550,0.358952201,0.186126071,0.0431236,50.400000000,28.564959303,61.326843390,40.324909705,34.662800067,0.196226474,0.223021790,0.374324107,0.026795316,0.178097633,things_source_s_tau_velocity_readout_no_refit_not_validation
NGC2366,C,5.35,0.882838,0.000000000,0.363881618,0.384873291,0.200657260,0.0411713,48.500000000,28.558791116,61.770656673,41.341151113,35.222993058,0.241864643,0.159705399,0.319864717,-0.082159244,0.078000074,things_source_s_tau_velocity_readout_no_refit_not_validation
