GalaxyName,Class,DistanceMpc,InclinationDeg,NPoints,Projection_RMS,MOND_RMS,RAR_RMS,Guardrail
CamB,A,3.36,65.0,9,0.963585384,1.044682855,1.043973988,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
DDO154,A,4.04,64.0,12,0.138812041,0.171818953,0.171311799,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
ESO079-G014,A,28.70,79.0,15,0.116776650,0.113658118,0.113603125,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
ESO116-G012,A,13.00,74.0,15,0.118483994,0.095011893,0.096167830,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
IC2574,C,3.91,75.0,34,0.221285260,0.329941367,0.329534404,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC0055,C,2.11,77.0,21,0.204516651,0.240688313,0.239130736,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC1705,C,5.73,80.0,14,0.354417125,0.285791976,0.288307540,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC2366,C,3.27,68.0,26,0.250878781,0.309827403,0.308970559,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC2403,A,3.16,63.0,73,0.084927422,0.055828097,0.058345320,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC2976,C,3.58,61.0,27,0.239111203,0.248291725,0.245486896,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC3109,C,1.33,70.0,25,0.175872342,0.137333913,0.137404074,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC3198,A,13.80,73.0,43,0.156224718,0.169240927,0.165313449,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC3741,C,3.21,70.0,21,0.204417844,0.101624658,0.101249417,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC3917,A,18.00,79.0,17,0.143599282,0.145961028,0.145500872,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC3972,A,18.00,77.0,10,0.101666153,0.097458251,0.097970668,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC4183,A,18.00,82.0,23,0.067793794,0.093933888,0.093699945,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC4559,A,9.00,67.0,32,0.133934337,0.159170541,0.155745992,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC5055,C,9.90,55.0,28,0.117536453,0.147367961,0.138729954,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC5585,A,7.06,51.0,24,0.173858350,0.182562539,0.179688750,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC6503,A,6.26,74.0,31,0.072498887,0.043993628,0.043219602,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
NGC7331,A,14.70,75.0,36,0.098042642,0.112036328,0.100097717,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC00128,A,64.50,57.0,22,0.138644763,0.110243251,0.110341679,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC00191,A,17.10,45.0,9,0.124355499,0.115946986,0.116702790,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
UGC00731,C,12.50,57.0,12,0.339703437,0.246646797,0.246660902,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
